model,split,row_type,group,n_groups,sinkhorn_de,centered_sinkhorn_de,variance_log_mae_de
DiffCRISP,split3,group,NK cells_RG7090,1,2.963228225708008,2.7472195625305176,0.04265708476305008
DiffCRISP,split3,group,NK cells_RG7112,1,44.81961441040039,37.920074462890625,0.3267293870449066
DiffCRISP,split3,group,NK cells_RN486,1,9.086337089538574,8.759851455688477,0.09339362382888794
DiffCRISP,split3,group,NK cells_RVX208,1,15.347805976867676,14.116496086120605,0.19223394989967346
DiffCRISP,split3,group,NK cells_Raloxifene,1,0.029717780649662018,0.011370854452252388,0.000709142186678946
DiffCRISP,split3,group,NK cells_Resminostat,1,46.89628601074219,36.86711883544922,0.5393617749214172
DiffCRISP,split3,group,NK cells_Ricolinostat,1,16.00999641418457,15.600693702697754,0.231221005320549
DiffCRISP,split3,group,NK cells_Riociguat,1,3.7835474014282227,3.6308178901672363,0.08405201882123947
DiffCRISP,split3,group,NK cells_Ruxolitinib,1,26.693458557128906,23.661678314208984,0.4836015999317169
DiffCRISP,split3,group,NK cells_SB525334,1,9.14744758605957,7.672515869140625,0.1113615483045578
DiffCRISP,split3,group,NK cells_SCH58261,1,0.004835136234760284,0.0027731391601264477,0.0001874384906841442
DiffCRISP,split3,group,NK cells_SLx2119,1,6.3472442626953125,6.217409133911133,0.11435260623693466
DiffCRISP,split3,group,NK cells_STK219801,1,4.119560718536377,3.790200710296631,0.06475624442100525
DiffCRISP,split3,group,NK cells_Saracatinib,1,35.196632385253906,32.3226203918457,0.5258656144142151
DiffCRISP,split3,group,NK cells_Scriptaid,1,42.42080307006836,34.92340087890625,0.4328939914703369
DiffCRISP,split3,group,NK cells_Selumetinib,1,8.968345642089844,7.907020568847656,0.14865873754024506
DiffCRISP,split3,group,NK cells_Sgccbp30,1,2.326920747756958,2.0533740520477295,0.03209608420729637
DiffCRISP,split3,group,NK cells_Sunitinib,1,9.060760498046875,8.583045959472656,0.14560334384441376
DiffCRISP,split3,group,NK cells_TGX221,1,25.555923461914062,20.605619430541992,0.30984801054000854
DiffCRISP,split3,group,NK cells_TIE2KinaseInhibitor,1,11.014225006103516,10.800056457519531,0.16576169431209564
DiffCRISP,split3,group,NK cells_TLHRAS26,1,2.2615692615509033,2.111917018890381,0.049575384706258774
DiffCRISP,split3,group,NK cells_TPCA1,1,28.57368278503418,25.969985961914062,0.46159496903419495
DiffCRISP,split3,group,NK cells_TR14035,1,11.773075103759766,11.18226432800293,0.1864117980003357
DiffCRISP,split3,group,NK cells_Tacalcitol,1,15.104422569274902,13.052720069885254,0.2559517025947571
DiffCRISP,split3,group,NK cells_Tamatinib,1,32.09644317626953,28.50064468383789,0.5214517712593079
DiffCRISP,split3,group,NK cells_Tipifarnib,1,0.3980730175971985,0.3604612946510315,0.014312798157334328
DiffCRISP,split3,group,NK cells_Tivantinib,1,5.688241004943848,5.096522808074951,0.11436109244823456
DiffCRISP,split3,group,NK cells_Tivozanib,1,1.749901533126831,1.6525964736938477,0.05033363774418831
DiffCRISP,split3,group,NK cells_Topotecan,1,21.922805786132812,18.322895050048828,0.2726137042045593
DiffCRISP,split3,group,NK cells_Tosedostat,1,0.3343466818332672,0.28131815791130066,0.014366853050887585
DiffCRISP,split3,group,NK cells_Trametinib,1,1.4736664295196533,1.427870273590088,0.04903629422187805
DiffCRISP,split3,group,NK cells_UNIIBXU45ZH6LI,1,16.15255355834961,4.212978839874268,0.1295350193977356
DiffCRISP,split3,group,NK cells_Vandetanib,1,0.004068995360285044,0.0017031100578606129,0.00017677228606771678
DiffCRISP,split3,group,NK cells_Vanoxerine,1,0.43804624676704407,0.43588098883628845,0.015654899179935455
DiffCRISP,split3,group,NK cells_Vardenafil,1,9.286413192749023,8.653217315673828,0.15331171452999115
DiffCRISP,split3,group,NK cells_Vorinostat,1,22.318275451660156,18.935855865478516,0.29672837257385254
DiffCRISP,split3,group,NK cells_YK4279,1,27.128341674804688,22.57950210571289,0.15176169574260712
DiffCRISP,split3,group,T cells CD8+_59Isopropyl8methyl2morpholino9Hpurin6ylpyrimidin2amine,1,0.43195363879203796,0.23275837302207947,0.008957074955105782
DiffCRISP,split3,group,T cells CD8+_ABT199GDC0199,1,0.9087439775466919,0.3741854727268219,0.01448031049221754
DiffCRISP,split3,group,T cells CD8+_ABT737,1,1.7087408304214478,0.4666936993598938,0.01849970780313015
DiffCRISP,split3,group,T cells CD8+_AMD070hydrochloride,1,0.4138851761817932,0.20483161509037018,0.008262010291218758
DiffCRISP,split3,group,T cells CD8+_AT13387,1,24.993305206298828,4.067049026489258,0.14871187508106232
DiffCRISP,split3,group,T cells CD8+_AT7867,1,1.3048079013824463,1.079003095626831,0.03412184119224548
DiffCRISP,split3,group,T cells CD8+_AVL292,1,0.4995149075984955,0.24090740084648132,0.010532553307712078
DiffCRISP,split3,group,T cells CD8+_AZ628,1,2.206268310546875,1.905688762664795,0.05290916562080383
DiffCRISP,split3,group,T cells CD8+_AZD3514,1,0.2550608515739441,0.123818039894104,0.005161656532436609
DiffCRISP,split3,group,T cells CD8+_AZD4547,1,0.13986104726791382,0.06181114912033081,0.002743531484156847
DiffCRISP,split3,group,T cells CD8+_AZD8330,1,2.0217363834381104,1.9131145477294922,0.04639056324958801
DiffCRISP,split3,group,T cells CD8+_Alogliptin,1,0.39078325033187866,0.19594307243824005,0.0077280206605792046
DiffCRISP,split3,group,T cells CD8+_Amiodarone,1,0.3709544539451599,0.17037031054496765,0.006962426472455263
DiffCRISP,split3,group,T cells CD8+_Atorvastatin,1,0.3858512043952942,0.27892476320266724,0.011085446923971176
DiffCRISP,split3,group,T cells CD8+_Azacitidine,1,0.02089289203286171,0.0073243193328380585,0.00046079259482212365
DiffCRISP,split3,group,T cells CD8+_BAY613606,1,9.158559799194336,3.7672483921051025,0.12786996364593506
DiffCRISP,split3,group,T cells CD8+_BAY872243,1,0.6807825565338135,0.5273797512054443,0.01899860054254532
DiffCRISP,split3,group,T cells CD8+_BID1870,1,0.6212169528007507,0.18921317160129547,0.007776737213134766
