setting,direction_acc,drug,dose,cell_type,pbmc_cell_type,batch_original,n_cells,n_de_genes,method
Seen drugs,0.6097560975609756,PorcnInhibitorIII,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) B,263,41,DiffCRISP
Seen drugs,0.7346938775510204,Belinostat,0.007092198581560284,NK cells,Natural killer cell,10x Chromium (v3),194,49,DiffCRISP
Seen drugs,0.7692307692307693,CHIR99021,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v3),194,39,DiffCRISP
Seen drugs,0.6818181818181818,Crizotinib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v3),194,44,DiffCRISP
Seen drugs,0.2,Dabrafenib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v3),194,50,DiffCRISP
Seen drugs,0.6097560975609756,Dactolisib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v3),194,41,DiffCRISP
Seen drugs,0.6818181818181818,Foretinib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v3),194,44,DiffCRISP
Seen drugs,0.5833333333333334,Idelalisib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v3),194,36,DiffCRISP
Seen drugs,0.6774193548387096,LDN193189,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v3),194,31,DiffCRISP
Seen drugs,0.6571428571428571,Linagliptin,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v3),194,35,DiffCRISP
Seen drugs,0.7586206896551724,ODemethylatedAdapalene,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v3),194,29,DiffCRISP
Seen drugs,0.675,Palbociclib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v3),194,40,DiffCRISP
Seen drugs,0.625,Penfluridol,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v3),194,32,DiffCRISP
Seen drugs,0.6829268292682927,PorcnInhibitorIII,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v3),194,41,DiffCRISP
Seen drugs,0.6938775510204082,Belinostat,0.007092198581560284,NK cells,Natural killer cell,CEL-Seq2,42,49,DiffCRISP
Seen drugs,0.5641025641025641,CHIR99021,0.07092198581560284,NK cells,Natural killer cell,CEL-Seq2,42,39,DiffCRISP
Seen drugs,0.6363636363636364,Crizotinib,0.07092198581560284,NK cells,Natural killer cell,CEL-Seq2,42,44,DiffCRISP
Seen drugs,0.24,Dabrafenib,0.07092198581560284,NK cells,Natural killer cell,CEL-Seq2,42,50,DiffCRISP
Seen drugs,0.5853658536585366,Dactolisib,0.07092198581560284,NK cells,Natural killer cell,CEL-Seq2,42,41,DiffCRISP
Seen drugs,0.5227272727272727,Foretinib,0.07092198581560284,NK cells,Natural killer cell,CEL-Seq2,42,44,DiffCRISP
Seen drugs,0.5833333333333334,Idelalisib,0.07092198581560284,NK cells,Natural killer cell,CEL-Seq2,42,36,DiffCRISP
Seen drugs,0.5806451612903226,LDN193189,0.07092198581560284,NK cells,Natural killer cell,CEL-Seq2,42,31,DiffCRISP
Seen drugs,0.34285714285714286,Linagliptin,0.07092198581560284,NK cells,Natural killer cell,CEL-Seq2,42,35,DiffCRISP
Seen drugs,0.4482758620689655,ODemethylatedAdapalene,0.07092198581560284,NK cells,Natural killer cell,CEL-Seq2,42,29,DiffCRISP
Seen drugs,0.55,Palbociclib,0.07092198581560284,NK cells,Natural killer cell,CEL-Seq2,42,40,DiffCRISP
Seen drugs,0.59375,Penfluridol,0.07092198581560284,NK cells,Natural killer cell,CEL-Seq2,42,32,DiffCRISP
Seen drugs,0.6341463414634146,PorcnInhibitorIII,0.07092198581560284,NK cells,Natural killer cell,CEL-Seq2,42,41,DiffCRISP
Seen drugs,0.7755102040816326,Belinostat,0.007092198581560284,NK cells,Natural killer cell,Drop-seq,484,49,DiffCRISP
Seen drugs,0.5897435897435898,CHIR99021,0.07092198581560284,NK cells,Natural killer cell,Drop-seq,484,39,DiffCRISP
Seen drugs,0.6363636363636364,Crizotinib,0.07092198581560284,NK cells,Natural killer cell,Drop-seq,484,44,DiffCRISP
Seen drugs,0.32,Dabrafenib,0.07092198581560284,NK cells,Natural killer cell,Drop-seq,484,50,DiffCRISP
Seen drugs,0.6097560975609756,Dactolisib,0.07092198581560284,NK cells,Natural killer cell,Drop-seq,484,41,DiffCRISP
Seen drugs,0.5227272727272727,Foretinib,0.07092198581560284,NK cells,Natural killer cell,Drop-seq,484,44,DiffCRISP
Seen drugs,0.6111111111111112,Idelalisib,0.07092198581560284,NK cells,Natural killer cell,Drop-seq,484,36,DiffCRISP
Seen drugs,0.6451612903225806,LDN193189,0.07092198581560284,NK cells,Natural killer cell,Drop-seq,484,31,DiffCRISP
Seen drugs,0.5428571428571428,Linagliptin,0.07092198581560284,NK cells,Natural killer cell,Drop-seq,484,35,DiffCRISP
Seen drugs,0.5517241379310345,ODemethylatedAdapalene,0.07092198581560284,NK cells,Natural killer cell,Drop-seq,484,29,DiffCRISP
Seen drugs,0.725,Palbociclib,0.07092198581560284,NK cells,Natural killer cell,Drop-seq,484,40,DiffCRISP
Seen drugs,0.71875,Penfluridol,0.07092198581560284,NK cells,Natural killer cell,Drop-seq,484,32,DiffCRISP
Seen drugs,0.6097560975609756,PorcnInhibitorIII,0.07092198581560284,NK cells,Natural killer cell,Drop-seq,484,41,DiffCRISP
Seen drugs,0.5918367346938775,Belinostat,0.007092198581560284,NK cells,Natural killer cell,Smart-seq2,50,49,DiffCRISP
Seen drugs,0.5384615384615384,CHIR99021,0.07092198581560284,NK cells,Natural killer cell,Smart-seq2,50,39,DiffCRISP
Seen drugs,0.4772727272727273,Crizotinib,0.07092198581560284,NK cells,Natural killer cell,Smart-seq2,50,44,DiffCRISP
Seen drugs,0.34,Dabrafenib,0.07092198581560284,NK cells,Natural killer cell,Smart-seq2,50,50,DiffCRISP
Seen drugs,0.5121951219512195,Dactolisib,0.07092198581560284,NK cells,Natural killer cell,Smart-seq2,50,41,DiffCRISP
Seen drugs,0.4318181818181818,Foretinib,0.07092198581560284,NK cells,Natural killer cell,Smart-seq2,50,44,DiffCRISP
Seen drugs,0.5277777777777778,Idelalisib,0.07092198581560284,NK cells,Natural killer cell,Smart-seq2,50,36,DiffCRISP
Seen drugs,0.4838709677419355,LDN193189,0.07092198581560284,NK cells,Natural killer cell,Smart-seq2,50,31,DiffCRISP
Seen drugs,0.22857142857142856,Linagliptin,0.07092198581560284,NK cells,Natural killer cell,Smart-seq2,50,35,DiffCRISP
Seen drugs,0.4482758620689655,ODemethylatedAdapalene,0.07092198581560284,NK cells,Natural killer cell,Smart-seq2,50,29,DiffCRISP
Seen drugs,0.45,Palbociclib,0.07092198581560284,NK cells,Natural killer cell,Smart-seq2,50,40,DiffCRISP
Seen drugs,0.59375,Penfluridol,0.07092198581560284,NK cells,Natural killer cell,Smart-seq2,50,32,DiffCRISP
Seen drugs,0.5365853658536586,PorcnInhibitorIII,0.07092198581560284,NK cells,Natural killer cell,Smart-seq2,50,41,DiffCRISP
Seen drugs,0.7755102040816326,Belinostat,0.007092198581560284,NK cells,Natural killer cell,inDrops,147,49,DiffCRISP
Seen drugs,0.46153846153846156,CHIR99021,0.07092198581560284,NK cells,Natural killer cell,inDrops,147,39,DiffCRISP
Seen drugs,0.4090909090909091,Crizotinib,0.07092198581560284,NK cells,Natural killer cell,inDrops,147,44,DiffCRISP
