Term,Dasatinib_NES,Nilotinib_NES,Bosutinib_NES,Mean_NES,Weakest_NES
WP_MODULATORS_OF_TCR_SIGNALING_AND_T_CELL_ACTIVATION,-1.7294439155487085,-1.979434158546049,-1.8143027949164328,-1.8410602896703967,-1.7294439155487085
REACTOME_RAC3_GTPASE_CYCLE,-1.8025338372427404,-2.046393186849879,-1.6683587726751383,-1.8390952655892525,-1.6683587726751383
BIOCARTA_PPARA_PATHWAY,-2.0842478033250385,-1.8178514456440265,-1.6078287906208966,-1.8366426798633204,-1.6078287906208966
PID_PTP1B_PATHWAY,-1.8507677634923825,-2.063705223938232,-1.5947723979756534,-1.836415128468756,-1.5947723979756534
REACTOME_RHOC_GTPASE_CYCLE,-1.6890573218868474,-2.0892699625415445,-1.7163683743142233,-1.8315652195808718,-1.6890573218868474
KEGG_LEISHMANIA_INFECTION,-1.7876792458684228,-2.0460676621331126,-1.6557230518797923,-1.8298233199604426,-1.6557230518797923
PID_TXA2PATHWAY,-1.868601443369763,-1.7941928527414568,-1.7982543237246469,-1.820349539945289,-1.7941928527414568
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,-1.768585011565191,-2.002766994360899,-1.587860741551882,-1.7864042491593242,-1.587860741551882
WP_IL18_SIGNALING,-2.184870060899445,-1.6899387044875098,-1.4710084731077469,-1.781939079498234,-1.4710084731077469
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,-1.8596636480556488,-1.891368050921727,-1.5933088309410026,-1.7814468433061261,-1.5933088309410026
WP_B_CELL_RECEPTOR_SIGNALING,-1.5990014798027343,-2.276077374145037,-1.462061350062018,-1.7790467346699297,-1.462061350062018
WP_WNT_SIGNALING_AND_PLURIPOTENCY,-1.6592024444997409,-1.9455955300894017,-1.699024890936573,-1.7679409551752385,-1.6592024444997409
WP_MARKERS_OF_KIDNEY_CELL_LINEAGE,-1.745157111607309,-1.761935322816039,-1.7779688745225009,-1.7616871029819496,-1.745157111607309
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,-1.7089138865524045,-1.7163381021245927,-1.8374988985315532,-1.7542502957361836,-1.7089138865524045
REACTOME_SIGNALING_BY_INTERLEUKINS,-1.8493425443975933,-1.9837088719183933,-1.419328575591744,-1.7507933306359102,-1.419328575591744
REACTOME_RAC1_GTPASE_CYCLE,-1.9617056727480464,-1.8779492660216288,-1.4115697952984765,-1.7504082446893838,-1.4115697952984765
WP_ONCOSTATIN_M_SIGNALING,-1.90476034322812,-1.9333608198316217,-1.3905439455868789,-1.7428883695488737,-1.3905439455868789
WP_TROP2_REGULATORY_SIGNALING,-1.7273803116606496,-1.678100399555924,-1.7849713828794598,-1.730150698032011,-1.678100399555924
