drug,score,reference_positive,n_truth_hits,n_pred_hits,truth_pathways,pred_pathways
NVP-BSK805,4.051790836739481,True,2,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
AICAR,4.051619142412553,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
TG101209,4.049386798279558,True,3,2,REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Mercaptopurine,4.049249196530525,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
AZ,4.048981601226042,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Filgotinib,4.046494855148138,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Daphnetin,4.0460835863188525,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
UNC1999,4.040955046632738,True,3,2,REACTOME_CELL_CYCLE;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Cyclocytidine,4.039702202293829,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Decitabine,4.039426880352876,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Temsirolimus,4.036239954871234,True,3,2,REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Fulvestrant,4.036093095631396,True,6,2,REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS;WP_BREAST_CANCER_PATHWAY;REACTOME_ESR_MEDIATED_SIGNALING;WP_MAPK_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Rucaparib,4.032642301157948,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Meprednisone,4.03144202554831,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
WHI-P154,4.029833489897126,True,3,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_CELL_CYCLE;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Capecitabine,4.029184347067039,True,1,2,REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
SRT3025,4.028824831642911,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
MK-0752,4.028534262186549,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
AT9283,4.027145096542021,True,1,2,REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
AG-490,4.026469190943147,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Ofloxacin,4.025774069836422,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Quercetin,4.024803306551912,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Bisindolylmaleimide,4.022639850910092,True,4,2,REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE;REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Enzastaurin,4.021156315026007,True,2,2,WP_BREAST_CANCER_PATHWAY;REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Tofacitinib,4.020407852694271,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Fluorouracil,4.018425236232193,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
YM155,4.017626965437941,True,4,2,REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Lomustine,4.017623034480742,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
MK-5108,4.011517981193789,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
PF-573228,4.011506440126564,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
PD98059,4.010303143961702,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Valproic,4.0096756523101895,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Clevudine,4.007013024535211,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Costunolide,4.004914100916904,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
BMS-911543,4.000565488770992,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Baricitinib,3.99771649007557,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
