group,n_truth,crisp_between_seed,diffcrisp_between_seed,real_sampling,crisp_ratio,diffcrisp_ratio
K562_SRT2104_1.0,227,5.732026175388051e-07,0.0005973178002894505,0.03027352649304602,1.8934121126274225e-05,0.019730697724517073
K562_Selisistat_1.0,240,7.348167530128396e-05,0.002566242770666981,0.033831642278366617,0.002171980736160457,0.0758533313148663
K562_Sirtinol_1.0,242,7.346767791697554e-06,0.016519836481246684,0.0491803472654687,0.00014938421951436655,0.3359032093058411
K562_Sodium_1.0,186,2.2488306020325884e-07,0.01040118143428117,0.009643734354499934,2.3319084903901826e-05,1.0785429224756486
K562_Sorafenib_1.0,97,0.003958828928362992,0.20444107287459903,0.6475991851753659,0.006113085097985362,0.3156907506287823
K562_TAK-901_1.0,58,0.0006422213000607574,0.026948197931051254,0.04257543376750416,0.015084316076914168,0.632951811558983
K562_TG101209_1.0,63,0.0002365785690522494,0.03436654996540811,0.04088017712864611,0.0057871219174946,0.8406653879522042
K562_Tacedinaline_1.0,133,0.0004076948913279921,0.12834666421016058,1.3344674176639981,0.0003055113118023272,0.09617819252180246
K562_Tanespimycin_1.0,84,0.0005007817361426229,0.014037172682583332,0.10891742342048222,0.004597811079402101,0.12887903736385672
K562_Tazemetostat_1.0,212,2.272133427380949e-06,0.007182890449702326,0.02085437223330331,0.00010895237708246494,0.34443091210540666
K562_Thalidomide_1.0,208,3.321448833699176e-07,1.2087926496601793e-06,0.005046855803165171,6.58122396050251e-05,0.00023951400571065978
K562_Thiotepa_1.0,267,0.00028076854068785905,0.013110808091652063,0.08172512989905145,0.003435522721526048,0.16042566231276476
K562_Tie2_1.0,251,0.0004713675362937566,0.003360578244448536,0.07992209204369122,0.005897837809801987,0.042048176649472586
K562_Tofacitinib_1.0,206,0.0001226829668464941,4.3519029993098635e-06,0.04246294055547979,0.0028891773683502476,0.00010248708502944824
K562_Tozasertib_1.0,107,0.0003834302548461387,0.037417307537462974,0.695939568678538,0.0005509533759866574,0.053765167582742274
K562_Trametinib_1.0,152,0.0006095909686539219,0.07710145571165615,0.6737589836120605,0.0009047611734775983,0.11443477205797067
K562_Tranylcypromine_1.0,215,6.106437717284684e-05,0.06557267730434736,0.3397909813457065,0.00017971158896274347,0.19297945179313958
K562_Triamcinolone_1.0,265,0.00023671823712195165,0.029115363914105626,1.4035513665941026,0.00016865662544034908,0.020744067233362317
K562_Trichostatin_1.0,79,0.00015930039986010848,0.025440494964520135,0.14389656831820805,0.0011070479422958643,0.17679709295263996
K562_Tucidinostat_1.0,118,0.0006535922668667304,0.2071832878722085,1.066379835870531,0.0006129075634041555,0.1942865767928517
K562_UNC0379_1.0,152,0.0011072415748559353,0.11152522679832247,0.6946054935455322,0.0015940581886333069,0.160559091217455
K562_UNC0631_1.0,191,4.075697922619131e-05,0.000698880831578208,0.013175776745710108,0.0030933264894201663,0.053042856225213146
K562_Valproic_1.0,235,3.5600314577758733e-08,0.00028925979538851405,0.025554453550527493,1.3931158616782035e-06,0.011319349670951707
K562_Vandetanib_1.0,68,0.0005109141550039769,0.014769558753404353,0.0589546395258771,0.00866622472994208,0.2505241126429331
K562_WHI-P154_1.0,169,8.833361833795708e-07,0.00042578089377782487,0.025601107001097665,3.4503827640800733e-05,0.0166313469866584
K562_WP1066_1.0,203,5.5930223030979205e-05,0.010737830977369514,0.004561111406655982,0.012262411075809465,2.3542137036380892
K562_XAV-939_1.0,164,0.00020627656722354003,0.002178017645524556,0.01122021308341236,0.01838437164161288,0.19411553321963865
K562_YM155_1.0,75,2.965272721363969e-05,0.0028937399529645014,0.04338844795193937,0.0006834244738711442,0.06669378808317473
K562_ZM_1.0,199,0.00017371587216782953,0.01691727265715599,0.03635533516191774,0.004778277284314439,0.46533122530188786
K562_Zileuton_1.0,246,4.216653290238052e-08,1.0609324961505548e-05,0.024649312781790892,1.7106575455332803e-06,0.0004304105779915674
