pos_ratio,model,cov_drug,cell_type
0.98,DIFFCRISP,T cells CD4+_PitavastatinCalcium,T cells CD4+
0.6466666666666666,DIFFCRISP,T cells CD4+_Pomalidomide,T cells CD4+
0.68,DIFFCRISP,T cells CD4+_PorcnInhibitorIII,T cells CD4+
0.96,DIFFCRISP,T cells CD4+_Prednisolone,T cells CD4+
0.9533333333333333,DIFFCRISP,T cells CD4+_ProscillaridinAProscillaridinA,T cells CD4+
0.9199999999999999,DIFFCRISP,T cells CD4+_Protriptyline,T cells CD4+
0.8266666666666667,DIFFCRISP,T cells CD4+_Quizartinib,T cells CD4+
0.9333333333333332,DIFFCRISP,T cells CD4+_R428,T cells CD4+
0.8866666666666667,DIFFCRISP,T cells CD4+_RG7090,T cells CD4+
0.9533333333333333,DIFFCRISP,T cells CD4+_RG7112,T cells CD4+
1.0,DIFFCRISP,T cells CD4+_RN486,T cells CD4+
0.7599999999999999,DIFFCRISP,T cells CD4+_RVX208,T cells CD4+
0.34,DIFFCRISP,T cells CD4+_Raloxifene,T cells CD4+
0.9866666666666667,DIFFCRISP,T cells CD4+_Resminostat,T cells CD4+
0.8733333333333334,DIFFCRISP,T cells CD4+_Ricolinostat,T cells CD4+
0.8000000000000002,DIFFCRISP,T cells CD4+_Riociguat,T cells CD4+
0.9133333333333334,DIFFCRISP,T cells CD4+_Ruxolitinib,T cells CD4+
0.82,DIFFCRISP,T cells CD4+_SB525334,T cells CD4+
0.9533333333333333,DIFFCRISP,T cells CD4+_SCH58261,T cells CD4+
0.9400000000000001,DIFFCRISP,T cells CD4+_SLx2119,T cells CD4+
0.8666666666666667,DIFFCRISP,T cells CD4+_STK219801,T cells CD4+
0.9466666666666667,DIFFCRISP,T cells CD4+_Saracatinib,T cells CD4+
0.9466666666666667,DIFFCRISP,T cells CD4+_Scriptaid,T cells CD4+
0.98,DIFFCRISP,T cells CD4+_Selumetinib,T cells CD4+
0.9333333333333332,DIFFCRISP,T cells CD4+_Sgccbp30,T cells CD4+
0.9866666666666667,DIFFCRISP,T cells CD4+_Sunitinib,T cells CD4+
0.6866666666666666,DIFFCRISP,T cells CD4+_TGX221,T cells CD4+
0.7333333333333334,DIFFCRISP,T cells CD4+_TIE2KinaseInhibitor,T cells CD4+
0.9199999999999999,DIFFCRISP,T cells CD4+_TLHRAS26,T cells CD4+
1.0,DIFFCRISP,T cells CD4+_TPCA1,T cells CD4+
0.6133333333333334,DIFFCRISP,T cells CD4+_TR14035,T cells CD4+
0.96,DIFFCRISP,T cells CD4+_Tacalcitol,T cells CD4+
1.0,DIFFCRISP,T cells CD4+_Tamatinib,T cells CD4+
0.82,DIFFCRISP,T cells CD4+_Tipifarnib,T cells CD4+
0.8533333333333334,DIFFCRISP,T cells CD4+_Tivantinib,T cells CD4+
0.92,DIFFCRISP,T cells CD4+_Tivozanib,T cells CD4+
0.8533333333333334,DIFFCRISP,T cells CD4+_Topotecan,T cells CD4+
0.9199999999999999,DIFFCRISP,T cells CD4+_Tosedostat,T cells CD4+
0.8666666666666667,DIFFCRISP,T cells CD4+_Trametinib,T cells CD4+
0.9533333333333333,DIFFCRISP,T cells CD4+_UNIIBXU45ZH6LI,T cells CD4+
0.6933333333333334,DIFFCRISP,T cells CD4+_Vandetanib,T cells CD4+
0.7133333333333333,DIFFCRISP,T cells CD4+_Vanoxerine,T cells CD4+
0.6533333333333333,DIFFCRISP,T cells CD4+_Vardenafil,T cells CD4+
0.9666666666666667,DIFFCRISP,T cells CD4+_Vorinostat,T cells CD4+
0.86,DIFFCRISP,T cells CD4+_YK4279,T cells CD4+
0.9933333333333333,DIFFCRISP,T cells CD8+_59Isopropyl8methyl2morpholino9Hpurin6ylpyrimidin2amine,T cells CD8+
0.98,DIFFCRISP,T cells CD8+_ABT199GDC0199,T cells CD8+
0.98,DIFFCRISP,T cells CD8+_ABT737,T cells CD8+
0.9866666666666667,DIFFCRISP,T cells CD8+_AMD070hydrochloride,T cells CD8+
0.7999999999999999,DIFFCRISP,T cells CD8+_AT13387,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_AT7867,T cells CD8+
0.9733333333333333,DIFFCRISP,T cells CD8+_AVL292,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_AZ628,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_AZD3514,T cells CD8+
0.9933333333333333,DIFFCRISP,T cells CD8+_AZD4547,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_AZD8330,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_Alogliptin,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_Amiodarone,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_Atorvastatin,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_Azacitidine,T cells CD8+
0.96,DIFFCRISP,T cells CD8+_BAY613606,T cells CD8+
0.9933333333333333,DIFFCRISP,T cells CD8+_BAY872243,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_BID1870,T cells CD8+
0.9933333333333333,DIFFCRISP,T cells CD8+_BMS265246,T cells CD8+
0.9466666666666667,DIFFCRISP,T cells CD8+_BMS387032,T cells CD8+
0.98,DIFFCRISP,T cells CD8+_BMS536924,T cells CD8+
